,text,class
162,nat science final couple hours study sleep argh stupid test,1
163,welcome call 3 jobs counting,0
164,working calculus,0
165,108 nearly double digits,0
166,cant wait see princess frog tonight propane,1
167,want another grilled cheese,0
168,wondering even nyu bad idea expensive bad idea,1
169,foot thanksgiving break lets give thanks wonderful break boredom receive,0
170,wishes new york tonight,0
171,slash convertible top 2 days leave beach vacation someone serious asshole,1
172,feeling like crap temperature though least swine flu least think,1
173,loves work coworkers,0
174,soaked umbrella broke good morning dear monday,0
175,trying figure tornado winds outside right la people let us forget,1
176,im really feeling chicago winter right dunno ill make back texas fingertips,1
177,well goes nothing getting ready first day,1
178,tokyo,0
179,enjoying last day holiday shopping beneath wreath 1100300 today nicholas cultural center wwwjuniorleaguegrcom,1
180,rearranged furniture room today make way pole love rearranging furniture makes feel accomplished,0
181,hot chocolate make feel better,0
182,penguins dont pockets,0
183,need grow,1
184,stayed finish kite runner last night probably around four morning im sure dont clock lol,0
185,making baked apples cocoa butter filling creme angliase hopefully good,1
186,sick nihilistic depression shitting life may meaningless may right disturbingly bleak shit ive thinkingabout im selfkiller im stuck heremight well pull together live crazy life ive got anyway eh change works time new year ironically,1
187,bakers dozen turkeys backyard,0
188,officially got nothing like seriously,0
189,gotta spend 12001300 tires nice eh,1
190,social interview ask questions feel left,1
191,anyone ap us please fill missed friday left would much appreciated,1
192,wish could take back kiss know taste betrayal,1
193,om one beautiful songs ever alone bed framing haley really,0
194,agh almost christmas,0
195,man sold kidney 20000sounds like plan,0
196,excited nba thursdays especially excited community,0
197,going spend time,0
198,people get ready theres change coming,0
199,um mother nature love thunderstorms much next person ord one today could get shit together thank,0
200,made first attempt cooking bok choynot sure ever second,0
201,excited going dark whilst worked exactly long wait knows going soon,1
202,want carve pumpkin,0
203,smells justice served goes around comes around definitely came around propane,0
204,friends shall drip rubies youll soon drip precious rubies,0
205,cant blame mad scientists mad science,0
206,impressed ads side fu getting relevant without offensively finally ive got ad book like band like movie animator like yay,0
207,proof soulshattering aweinspiring things evolve music,0
208,almost forgot sunday nightly new venture bros es preciousness dude saw metalocalypse season premiere surprise thing happened literally screamed joy woke dad lol maybe semiexpected still foot,0
209,tired train home train school train home one day please whimper,1
210,homes day today best thing want kill time raining outside,0
211,youll excuse im best ive gone month ive drunk since left called vacations soon death im sick drink need home rest,1
212,reckons looking lot like washington california right,0
213,ughmondays,0
214,wow many cool stories boats fun im cannes tournament coming couple days getting little homesick gone almost 2 months,1
215,first 5 175 go,0
216,hope love dont worry child dont worry bout thing night lift us rise rise madness propane,0
217,go urbandictionarycom type first name copy paste status put first entry name comment,0
218,oh irony dork,0
219,tokyo wednesday morning anyone want hang,1
220,wwwthejokerblogscom,0
221,good weekend weeks busy kumbinazjoni emma ghaddejjin bilmomentum looking forward future,0
222,many people arent using propane ticket,0
223,foot foot good weeksuper productive busy way like,1
224,well im 18 careful could go big boy jail lol,1
225,believes life like open sea truth wind sails wonder im moving,0
226,done workfor,0
227,got back reel rock film show officially views propane biggest badass ever,0
228,looking forward weekend,0
229,propane driving florida keys,1
230,hating job,1
231,fall go,0
232,get steven get enough sleep run energy long day overcoat gives rampant exhaustion really puts cramp life timecard im gonna go sleep hope,0
233,well elaborate surprise plan take propane see propane birthday canceled due weather im still looking forward snowy weekend going wait april see propane,1
234,participating society today problem free leave message receptionist dont,0
235,library knocking legal writing homework,1
236,wants sleep study write 2 large paragraphs yawns,1
237,old roommate englewood propane town,1
238,getting ready fun escapade spiritual al corazon del orculo riviera maya meus somnierum,0
239,free slurpee day,0
240,face,0
241,watched movie saved weekend loved,0
242,illegal get caught assuming stupid enough get caught first place,0
243,grandmas hospital im going see dad,1
244,thinks may created new unit monetary measure kilopeanutkilopeanuts keeps short use derogatory example job pays 35kps,0
245,want something different couldnt give lie,0
246,hilarious trying explain easter thai children yeah there's rabbit comes house hides eggs yes eggs eat chocolate that's shaped like rabbits eggs that's celebrate resurrection jesus christ haha either really confused look face laugh,0
247,wishes boy scouts america happy 100th birthday today,0
248,fail instead writing bspaceedu wrote facebookcom,0
249,needs massage sleep,1
250,still sickbay hopefully new year ill well,1
251,divine apathy disease youth watch dont catch says son time luck need,0
252,disappointed someone thought would never really disappointed,0
253,royal institution christmas lecture trees evil,0
254,got call interview job applied back june go figure sometimes things take time cross fingers,1
255,irritated day got new modem blogging service went upgrade,0
256,feeling quite content spite ails quirks lips serene smile,0
257,half english coursework done foot,0
258,entry,0
259,sad dayjeanne claude wife christ passed yesterday met couple years ago soho studiotwo passionate artists ive ever pleasure meeting,0
260,emptied closets clothes box move completely reorganizing everything looks like clothes bomb went bedroom,1
261,thinks orlando magic change name orlando joke,0
262,gotta love checks balances,0
263,work tomorrow finallytime great night morning sleeping,1
264,going grandma dinner sheboygan falls tomorrow busy weekend,1
265,know old news dont think propane could annoying less funny,0
266,want dork dont think id friends love guys,0
267,going first broncos game tonight first rockies game tomorrow night thanks propane propnameand propane,1
268,friend represents world us world possibly born arrive meeting new world born,0
269,going warped tomorrow close one gah happy,1
270,eating huge bowl piping hot homemade chicken soup ummm,0
271,never going home weekday ever waking 630am memory id rather keep past thank yawn,1
272,finally ended orientation fast perspectives social science historical methods early modern england classes quarter seems,1
273,happy halloween almost time make snacks party tonight,0
274,new england journal medicine reports 9 10 doctors agree 1 10 doctors idiot propane,0
275,dearest super propane bulkhead chocolate cupcakes heavenly hope see lunch soon,1
276,uploaded photos wow ball fun,0
277,kinda hopes finals go well game tears,1
278,going hope game night,1
279,studying laundry studying going shopping studying cooking propane tonight yippee,1
280,sleep,0
281,wonders electric eel would make good spirit animal,0
282,605 cogito ergo es,0
283,thinks maybe real guys like propane dragon age might willing date yes seriously said,0
284,bahahahaaaa,0
285,goals next 11 months 1 rock fuck last 2 run 3 marathon 3 get baller law school 4 buy bow ze 5 laws vietnam cambodian anyone,1
286,people tonightcall wanna come,1
287,anyone else school today sure nobody would able get eh,1
288,propane coming back wwe,0
289,well 100 ive drinks need work far soon words great night happy birthday thom,1
290,know cope stress think ive cried 10 times last 3 days,1
291,else solo,0
292,really cant bothered last essay,0
293,cant live without dont even want try,0
294,stoked weekend marble canyons come,1
295,needs internal motivation,0
296,noncoffee drinker like end hooked cappuccinos,0
297,live,0
298,cleaningmostly sort things actually getting done im sure,0
299,thinking propane words feels like electricity yeah electricity,0
300,sick joint facebook pages individual christs sake,0
301,camera party,0
302,would like thank everyone birthday wishes tame nice birthday also id like recommend ninja assassin everything good ninja excellent choreography,1
303,keep government away medicare good summary american politics one likely get days,1
304,needs know guys seriously squid,0
305,saw homeless guy side road holding sign said lie need beer picture uploaded soon,0
306,district 9 proof white people charge shit,0
307,booked tickets new york october thou ord wants join halloween ny,1
308,getting together map snacks music upallnight accessories hollywood starting driving 4,1
309,dream last night defied laws spacetime continuum like holy grail dreams,0
310,drunk su fans biking home game oh band fag coming dont like swear bite tongue keep either flicking simply saying fuck,1
311,wishing proctor exam 730 monday hate mornings,1
312,cant believe amount mosquitos outside already boo,0
313,measure health well adjusted profoundly sick society propane,0
314,theres nothing writing sit typewriter open vein,0
315,found god corner est mistak west alone smoking last cigarette said said ask anything,0
316,finds funny fit whole life little little boxes funny right word,0
317,craving bleu cheese burger sweet potato fries,0
318,probably failed another midterm,1
319,merry christmas,0
320,exhausted ready bedblahhhhhh,1
321,spit hard oughta crime,0
322,settling end amazing summer,0
323,yeah hot water,0
324,dream combined grudge twilight harry potter pokemon alloy unsealed grudge demon within bella bulbasaur jigglypuff save world wif even make sense,0
325,really amazing meatball roll bush eventually grow meatball tree,0
326,hang minute put phone cheese get keys open door,0
327,would like give formula success quite simple really double rate failure thinking failure enemy success discouraged failure learn go ahead make mistakes make remember that's find success propane,0
328,making applecarrot muffins like ones business,0
329,rumors true harvard awesome,0
330,needs sleeping baltimore,1
331,booked rest flights hellllooooo adventure,1
332,santa must love john bound days,0
333,wants curl watch movies night,0
334,watching movie,0
335,lost another game dang close,0
336,good time watchin london wasps lose cold today,1
337,apparently running first time months makes simultaneously feel like horse want devour steak want prepared,0
338,yay chocolate ice cream,0
339,ridiculous,0
340,damn close game monday dolphins almost pulled,0
341,oh bangkok miss lady boy calypso show haha,1
342,avail stuck head yesterdays singing performance soooo sad,1
343,scif club meeting mais tonight ith ave east village please send back get idea many people case need reservation,1
344,debating whether drinkalcohol,0
345,took personality test said im suitable supervisor,0
346,football first scrimmage today gonna awesome,0
347,listening cool rob people like mary oblige tamil ke jojo,0
348,one exam den im freeuntil november,1
349,like disheveled doll know give doll hairdo never quite thats hair looks like oh,0
350,downtown comedy club weekend awesomeness continues tonight 8,1
351,quite close illegal alien norway anymore,1
352,hate say propane tonight actually pretty goodhaving hard time chosing propane lately,0
353,got share adrenalin morning im driving home long night today cop waiting give tickets cause end month stops broken tail light driving wo insurance expired inspection sticker 5 months hihihi well end story ticket warning,1
354,using excellent combination juice calories tip balance sickness health,0
355,hooothis semester right guys wild,0
356,pretty happy good weekend getting go party see really close pic friends,1
357,bored santa cruz,1
358,gonna stay awake night able pass 9 tomorrow today,1
359,spending time watching code glass instead pa realised soooo worth best anime show ever fuck ending ugh,1
360,cant together well apart,0
361,received electric koolaid acid test mail today,0
362,weather sooo awesome,0
363,melodramatic sister world,0
364,bloody mondays,0
365,leader lead follow must guess must must know,0
366,hell still awake,1
367,going salsa dancing tonight hope dont embarrass,1
368,singing christmas songs,0
369,hope wicked weekend loves,0
370,really irksome grad school application recognizes california institute locksmithing california institute technology,0
371,17 nine days missed yesterdays count,1
372,lo,0
373,going write book,1
374,arrrrrrrr cancel trauma,0
375,soothsayer cap one day parents send children supergoldplatedcadillac private schools pay additional taxes cover educational expenses lower income families,1
376,moving new apartment el,1
377,hungry,0
378,moment love everything see think feel,0
379,computer deja vu,0
380,start new life monday,0
381,shooting punching stuff borderlands,0
382,haha public speaking todayclass cancelled,1
383,shame raetjgliajgtjajgaijglajweglkjajga,0
384,lor,0
385,bye pal set amaze cant wait till next year especially bye propane propane propane propane though im sure ill see u point great holiday xbox,0
386,propane trades master none though oft times better master one,0
387,glad computer working,0
388,alright host listen im going see music tomorrow dont want anything supernatural prevent got im sick crap,0
389,glad finally tried chiropractor back felt good ages crackle lol,1
390,wants propnames dresses,0
391,getting ready belle propnames birthday whatnotterymay fall asleep facedown cake eveningcrosses fingers,1
392,err school sucks,0
393,filled survey get monthly email coupons propane complete petmart awesome,0
394,2 3 go,0
395,found baby goombah outside door,0
396,appreciates special time year misfit dont dress behave like freak,0
397,campus,1
398,play decode piano,0
399,typical im finally able go blowing gale bloody raining,0
400,lighting really weird sky dark everything else almost luminescent,0
401,painfully petty selfish times,1
402,going laws dinner home evening,1
403,others,0
404,outdid year mini beef wellingtons gorgonzola cheese homemade mac cheese linguini prosciutto frittata endless cheese cauliflower au gratin thing without cheese green beans desserthomemade chocolate chip cookies yule log hand endless martinis plan celebrate making successfully another christmas,0
405,september january fashion,0
406,je detest le francais,0
407,finished watching wire awesome,1
408,err510,0
409,done paper finally,0
410,since light travels faster sound people appear bright hear speak,0
411,okay must sleep must work mere hours kidding dont sleep eat smoked work love,1
412,im back home new baby brother,1
413,much,0
414,joy freedom love god,0
415,tre user til solo,0
416,seeing propane weekend going she'd aquarium fun stuffs 3,1
417,black tomorrow,1
418,solid set tonight wild wednesdays get ready long version friday saturday downtown comedy club,1
419,week,0
420,planning go snow ass holidays,1
421,got back hotel dinner hitting gympool spa,1
422,day man,1
423,havent opened blinds yet sound wind rain think world may end,1
424,living personal trainer weekkapo stripper kickboxing cardio,1
425,guess one cares gave away name date dance last post,0
426,something missing,0
427,slogging along swamp draconians came upon strange looking patch wet sand draconians made wisdom check difficulty 9 rolled 16 recognizing immediately quicksand draconians decided take alternate route meant walking lot less dying,0
428,many live deserve death die deserve life give eager deal death judgement even wise cannot see ends token lord rings,0
429,finally found chem class need oakland enrolled get move back berkeley,1
430,keep reminding myselfone week vacation one week vacation,1
431,yaaaaaaaaaaaaaaaaaaaaay snooooooooooooooow,0
432,find funny keep clicking unfamiliar names wondering friend person realize got married,0
433,teacher got apple today grapes strawberries cream,0
434,sigh,0
435,chuck taylors combat boots vintage prada penny loafers today,0
436,mi novo prendre espaol que bonito impresionante,0
437,going florida tomorrow,1
438,feel like weekend powwow,0
439,everything rain,0
440,cooking chicken adobe tonight,1
441,happy thanksgiving,0
442,dropped lovely italian friend feel need angelo e risotto fungi,0
443,someone said font reminds,0
444,underground comedy lounge tonight downtown la come stand laugh,1
445,got hair cut 2 today hopes replicate hairstyle half well stylist,1
446,digs giant robots,0
447,true say ignorance bliss envy kids way mental maturity understand problems surrounding nice see happiness naivety every,0
448,little matchup work excited start school tomorrow,1
449,wants know boston wants see avenue,1
450,theres something cold winter nights,0
451,slower move faster die,0
452,would like rename son propane,1
453,getting readings done class work class remain,0
454,longing comfort familiar,1
455,head killing,1
456,cape button 10 daysand read 8 novels hump almost wish studying lol everyone soooo nice,1
457,thinks conspiracy among soup companies trick thinking personal size containers simply single serving size actually contain two servings,0
458,loves loves loves gin blossoms,0
459,anyone know good recording elixir amore everything ive listened far sort crap crap crap una furtive lagrima crap crap crap crap crap know hit song god recording thats good whole unit anywhere,0
460,sick,1
461,research un eaten francais work home night,1
462,kind school free printing students libraries close five,0
463,anxious move thinking much,1
464,continues befuddled,0
465,one paper submitted two go,0
466,smiling,1
467,loves hard,0
468,credit card roulette cost 8110fml,1
469,praying phone call doctors saying neurologist accepted referral see soon,1
470,loves coffee lol cat love cupcakes unlike lol cat im inbredilliterate 68 retarded however thats mostly drool,0
471,excited long weekend first football game season go state,0
472,one reason resist making deliberate choices choice equals change us feeling world unpredictable enough try minimise trauma change personal lives,0
473,feeling productive yee,0
474,lesson planing,0
475,fly eagles fly road victory fight eagles fight get touchdown one two three four etc etc,0
476,keeping lab notebook update,0
477,tiger woods car accident today driver always least reliable asset,0
478,posted amazon christmas list sure read notes top,1
479,music itwas shit,0
480,hope great weekend ex,0
481,degree difference matter 20 60,0
482,math,0
483,kansas city chiefs pittsburgh steelers 2724 disgrace,1
484,excited propane crews coming denver tomorrow,1
485,starting make delicious snacks enjoy watching supercool later,1
486,right glee ruined dont stop believing,0
487,assemble defeated,0
488,listened waiting luca sublime made think propane propane propane ugh miss guys,1
489,anyone tell jesus ever anointed oil baptized water anointed holy spirit called anointed one anyone tell yes yes need scripture reference thank,0
490,fog sighting street,0
491,meus somnerium en busca de un pequeo moment de comprensin,0
492,might head melt tonight gotta get bendigayyyy,1
493,human jud ko sa annotated,0
494,super excited see propane today,1
495,almost done hearing baseball messes,0
496,cold outside hot cocoa anyone,0
497,wonder propane propane propane dumped propane song horrendous even ballad understand propane marginal step shudder,0
498,whole day hoping find single thing hmmmmm,0
499,made sophie,0
500,likes sound thunder,0
501,jest cakowicie zakochana,0
502,came win fight conquer thrive came win survive prosper came fly,0
503,lola guys,0
504,lakers championship,0
505,vegas baby yada,0
506,training feels good 2084lbs less bulbs ive reach weight goal nice,1
507,nobody world best night day make everybody else means fight hardest battle human fight never stop fighting ee cummings,0
508,bought books booked flight chaz denver,1
509,900pm v102cabin fever 2 anyone welcome come think handle,1
510,hope love dont worry child dont worry bout thing night life us rise rise madness propane,0
511,wood blue moon new years eve,0
512,homecoming hunt jacqueline birthday weekend fol america miss amount red wine croissants consolewish could happy birthday jack,1
513,feel must concede defeat matter propane definitely short honest,0
514,good gators,0
515,dont understand people make hard nice dont understand im worrying anyway sure arent,0
516,walked eriksplan gamma stan workout around gamma stan back via sodermalmkungsholmen stockholm beautiful,1
517,branded whiteboard markers make happyto inky,0
518,whitney museum media biblioteca mariana mom union square,0
519,hot running,1
520,holy mother microfilm bitch eyes dear 1890 learn write normal look like us,0
521,vegetarian delight,0
522,according japanese scientists humans glow knew,0
523,wish wouldnt procrastinate weekend paper draft sucks,1
524,dons taking forklift test tomorrow see qualifies bump back keep fingers crossed,0
525,getting son take nap like pulling teeth,0
526,severely disappointed learnt,0
527,canceled vote obnoxious becashmerescarved prettyman chanting propane hare krishna propane middle starbucks health care,1
528,sitting english garden waiting sun,1
529,completed sexual harassment training really good,1
530,compromised puny prodigal pathetic pitiful pusillanimous putrid punk bangladesh,0
531,friends always say texas elects idiots well come backthanks propane,1
532,propane unpacked cleanedorganized home clutterfree space even kitchen looks bigger wait get home jellybean see neat place,1
533,hungers thirsts righteousness,0
534,argentinoosssgran fuego mejor de las series,0
535,turning 17 wednesday getting cake tutor time thursday birthday party saturday instead work could better week,1
536,look back thank god look forward trust god look around serve god look within find god god closes doors man open god opens doors man close need god open doors pray report,1
537,pool 2,0
538,sick data,0
539,home cant relax yeti swear im busy working,1
540,2 years till world ends im stoked,0
541,love vacation tomorrow going beach,1
542,finally almost done cap 54hrs since wednesday enough,0
543,happy merry christmas friends,0
544,southside tonightany takers,0
545,snow flurries suburbiawhat soonargh,0
546,computers feelings link,0
547,bored cartoons downtime sleep guess blink shrug yawn,1
548,bit nails whole game wins win though,0
549,switching back 510 phone number dropping 415 send note dont number,1
550,one die cannot afford health care one go broke get sick agree please post status rest day,0
551,finished house duties going cuppa chill back little girl,1
552,woke 730 morning sun mother informing gator loss want hungover probably would cried still love gators,1
553,propane win game,0
554,playing guitar hero,0
555,seventeen three days,1
556,shy,1
557,always looks bright side life supreme court twothirds catholic,1
558,one frozen carbonite slowly digested thousand years bowels salaam couldnt pay propane owe agree post status,0
559,manny work,0
560,rudy coming,0
561,tonight nba 8 sendoff freakin excited,1
562,dont want patriotic panties stupid facebook ads,0
563,misses hobbies geez law school suck life dont,1
564,tuesday home property class happy birthday meme myrtle grandma 80 years old today shes best im lucky shes grandma,1
565,officially one year behind thank note writing,0
566,taking propane walk attempting write memo,1
567,olive garden tonight,0
568,wonderful thanksgiving day reminded amazing family glad see members family needed enjoy family gathered around,1
569,needs take fewer joys granted,0
570,going work today laker game watch important priorities priorities,1
571,propane propane,0
572,partying place tonightcall wanna join,1
573,kinda rough morning looking,1
574,admit stor one awesome trailer,0
575,made hotel,0
576,finished one essay another foraged essay go first 3 hour nap 3,1
577,chicago spring break early march,1
578,15,0
579,another day another chance good day everyone,0
580,well reedsburg certainly interesting way plowing streets 2 days,1
581,morning dad said smells weird apartment found culpritsomething dads house upstairs sprung leakright bedroom ceiling saturating bedroom mattress lots pillows expensive clothes beloved posters savingare ruined waters still leaking grrahhhh,1
582,day tomorrow whos sledding text,1
583,imagining feet buried cool wet sand sucked toward ocean,0
584,says sorry orlando propane failed heat always going fail,0
585,3 days,0
586,chem im done classes day,0
587,propane sickens realizes jerk sick,1
588,mountains visit peeps,1
589,tiredjust like usual,1
590,enemies thought things always happened,0
591,mom strawberry rhubarb cobbler ummm,0
592,needs cut back dragon age,0
593,excited nameday tomorrow go state,0
594,finally home,1
595,sad loss elephant calf memphis zoo,1
596,ugh need job,1
597,rip propane,0
598,living hazelooking meaning life finding darkness,0
599,ho bad hau ju,0
600,thinks needs numbers friends,0
601,3 law school,0
602,got white christmas hilltop house engulfed cloud day pulling john,0
603,rip sergeant propnamemy thoughts sympathy friends family always made laugh even wanted cross lost great soldier,0
604,meh,0
605,officially certified teach english abroad find job,1
606,screw work making yet another trip social services reapply food stamps want write,1
607,prefers illegalmexicans construction work white american,1
608,give help people arguments giving ones genetic information without consent,0
609,memorizing,0
610,gotta ask pirates ninjas also two interesting concepts ive recently discovered horror cakes competition food network tomorrow one bleeds cut cake awesomeand childrens book series saw bookstore recently called vampiratesi dig name conception sure execution though stillintriguing,0
611,may heaven half hour devil know dead,0
612,wants practice marksman skills wonders archery classes neck woods,0
613,stairs painful,0
614,propane loves sweet potatoes vanilla ice cream best lol bout,0
615,back cal woo hoo,1
616,air mattress noisy nighttime lover,0
617,home sweet turkey,0
618,japanese class within hour stop surfing web,1
619,choice,0
620,guess whose place work got broken last night thats right mine,1
621,tomorrow geneva new start,1
622,great day working piddly stuff shower waiting talk propane,1
623,thanks much birthday wishes really amazing time xoxo,0
624,prom madness,0
625,currently reading fooled randomness today put book midst reverie airplane window felt brain bad sieve realizing bound forget wonderful things reading could remember everything useful ive learned forgotten,0
626,excited able spot summer triangle confused bermuda triangle,0
627,du durn duduuuu,0
628,hard enjoy people know theres one person need enjoy everything harder person wants enjoy everything someone else,0
629,rearranging room much fun,1
630,cant get money state mind,0
631,extra ticket ducks sharks game tonight section203 row best seats house 26 plus get sit,1
632,insomnia gets things done,0
633,goddam celebrity double thing driving crazy help,1
