uri,text,Incomprensibile,Non sensibile,Non so,Sensibile,class
73,clakclakclak rawrrrrr mel haxxxxxx rwrrrrrrrr lolzlolzlolzlolz im hood punk stooped yo,2,1,0,0,0
74,think golden,0,3,0,0,0
75,lumberjack castro hat,0,2,0,1,0
76,day wake realize youve slept twelve hours still want sleep day need get back regular sleeping schedule,0,1,0,2,1
77,actually mind coloring markers much thought yay coloring vividly creepy villainesses,0,3,0,0,0
78,thinks maybe singing along radio eighthour ride home help throatcoughchestcold thievery much,0,1,0,2,1
79,drove gas station number times sent panic behind wheel 6 hate 40 mah zones,0,1,1,1,0
80,great new year everybody 3 make best everything see never let bad stuff keep long,0,3,0,0,0
81,48 hours pretty much break work clean room dishes rearrange furniture room practice drop spins maybe dozen times ad right,0,1,0,2,1
82,open requests,0,3,0,0,0
83,frankly loss far current internal project,0,3,0,0,0
84,gonna stay awake night able pass 9 tomorrow today,0,0,1,2,1
85,cant sleep remedies,0,1,0,2,1
86,people want talk never online,0,3,0,0,0
87,needs stop stressing personal stuff homework beckons bejeweled smirking claw must answer tethered iron responsibilities real life,0,2,0,1,0
88,love hair today 3,0,3,0,0,0
89,right today pretty much fantastic around,0,2,0,1,0
90,feels tomorrow busy nice day,0,3,0,0,0
91,last day today mad dash finish get work done time,0,2,0,1,0
92,problem main reason come facebook join groups become fan things,0,2,0,1,0
93,three hour nap afternoon cant sleep,0,1,0,2,1
94,dogs hood,0,3,0,0,0
95,roll one short turkey,0,2,0,1,0
96,cant breathe feels like insides clawing way belly button hate pain,0,0,0,3,1
97,reflecting actually happy shes right,1,1,0,1,0
98,class ring changes whoop whoop 3,0,3,0,0,0
99,kiss kiss lick 3,0,2,1,0,0
100,lazy put stuff back order maybe tomorrow,0,1,0,2,1
101,serious crush propane 3,0,0,0,3,1
102,bed bugs ewwwww,0,2,0,1,0
103,mosquito bites,0,3,0,0,0
104,mondays new thursdays anthony ordain propane forgetting financial troubles,0,1,1,1,0
105,annoyed,0,1,0,2,1
106,turning cell moment next days dont take personally,0,1,1,1,0
107,trying figure everything,0,3,0,0,0
108,wants friend boyfriend drama drama,0,1,0,2,1
109,count,0,2,1,0,0
110,little things life fresh flowers katie ion netflix instant movies,0,3,0,0,0
111,bummed instant movie pull,0,1,0,2,1
112,wants go paris anyone care accompany,0,1,0,2,1
113,one minute time,0,3,0,0,0
114,loves avoiding burning whole pocket lesportsac purses overload,0,2,1,0,0
115,really hates california economy right,0,0,0,3,1
116,lost ex relationship,0,1,0,2,1
117,great day far thanks santa paula noon meetings mom,0,1,0,2,1
118,propnames lesbian,0,0,0,3,1
119,misses ability drive,0,2,0,1,0
120,mi familia de la ciudad de mexico esta aqui necesito que practical mi ethanol,3,0,0,0,0
121,wearing red lipstick watching movies hot boys mother screech family dog random even begin describe scene,0,1,1,1,0
122,anthony ordain bliss,0,2,1,0,0
123,turbo tax tried charging 140 dollars process taxes mom free fuck turbo tax thanks mom saving day,0,1,0,2,1
124,way north face judgement,0,1,1,1,0
125,target savior sandals dresses shirts oh,0,2,1,0,0
126,slightly smitten phoenix family weird know,0,2,0,1,0
127,hoping finally get break tomorrow,0,1,1,1,0
128,rhinanna getting crazier crazier stupid,0,3,0,0,0
129,feels like bum without legs,0,2,0,1,0
130,job weird welcome,0,1,0,2,1
131,3 years go,0,2,1,0,0
132,electronics giving,0,3,0,0,0
133,celebrating day dieting work wahoo,0,0,0,3,1
134,love new black peacock else pumped fall,0,3,0,0,0
135,sick way shes never physically sick feels like hangover mixed flu mixed weakness nausea,0,0,0,3,1
136,hates business united states healthcare system,0,1,0,2,1
137,thinks rhiannas italian vogue photoshoot bad taste inappropriate yuck,0,3,0,0,0
138,excited nba thursdays especially excited community,0,2,0,1,0
139,love propane,0,0,2,1,0
140,la vie en rose words absolutely brilliant honest beautiful movie,0,2,0,1,0
141,flashing lights kanye style,0,2,1,0,0
142,got break 3000 healthcare break whoooooo,0,0,0,3,1
143,actually going see someone besides mother day offense mom u fabulous im turning 13yearold notoutoftheclosetyet gay man amount time spend,0,0,0,3,1
144,arggggggggggggg,3,0,0,0,0
145,true blood getting halloween spirit damn bill hot,0,3,0,0,0
146,michael scott dancing booze cruise episode really entertaining right,0,3,0,0,0
147,office cleaning hanging con mi madre drugs choice evening,0,2,0,1,0
148,rip prague nights fall semester 2007,0,2,1,0,0
149,needs hot hair cut anyone know get fierce one 50,0,2,0,1,0
150,wants know became single 35yearold lady tonight visited dating site watched accidentally purpose felt characters seriously,0,1,0,2,1
151,ready day,0,1,0,2,1
152,life looking,0,3,0,0,0
153,excited kick old school old friend new place,0,1,0,2,1
154,netflix need least 6 dads queue think 5 quite enough thank gluttonous america,0,2,0,1,0
155,rediscovering love bjorn,0,3,0,0,0
156,money teeth cleaning gas bus top secret errand target rotate dress 40 warm comfy themed xmas shopping spending time mom coffee sephoracom office stepping outside forgetting cold gets without proper coverage productive selfindulgent bliss bad day,0,0,0,3,1
157,wants find way san fran new year,0,1,0,2,1
158,love propane,0,0,2,1,0
159,going start using disposable cameras agrees stephanie anticipation knowing show missed,0,1,0,2,1
160,thank everyone sent fu love made birthday special could ever imagined im sooooooo lucky many great souls life,0,2,0,1,0
161,excite today weekend,0,3,0,0,0
162,beautiful fall day southern california,0,0,0,3,1
163,coolest,2,0,1,0,0
164,wishes moving world least jamie get,1,2,0,0,0
165,today 2 month birthday,0,1,0,2,1
166,intervention heroine xanax crack oh,0,1,0,2,1
167,bad day even target shoes good guacamole calls burger could bring,0,1,0,2,1
168,summer heights high jamie jonah im hooked chris lilly,2,1,0,0,0
169,um amy peeler rocking world right seriously bad date rant hysterical tivo shit shit mean parks recreation,0,2,0,1,0
170,ten movies watch right instant netflix 1 la vie en rose 2 shrink love la 3 paris jaime love paris 3 clay pigeons propane priceless 4 quills 5 away go 6 sunshine cleaning 7 league 8 smart people heart propnames page sip 9 frostnixon 10 doubt,0,3,0,0,0
171,stuck bandaid brand cuz bandaid stuck,0,3,0,0,0
172,going grab raw fish,0,1,1,1,0
173,saw funny lots awesome awkward silences scriptwriter needs fingers broken achieve new improved levels editing important plot elements getting increasingly creative,0,2,1,0,0
174,need relearn patterns awesome,0,2,0,1,0
175,free slurpee day,0,3,0,0,0
176,got stop waking,0,1,0,2,1
177,feeling exactly topnotch,0,0,0,3,1
178,many notifications next log,0,2,0,1,0
179,first day school done finances going end,0,2,0,1,0
180,tired reason looking forward classes starting,0,1,0,2,1
181,2 months hell yet fol,1,1,0,1,0
182,got play fire front crowd yay,0,1,0,2,1
183,love ren fest,0,1,1,1,0
184,3 days,0,1,1,1,0
185,great day,0,3,0,0,0
186,loves pirate english version facebook,0,2,0,1,0
187,choice,0,2,1,0,0
188,2 days,0,1,0,2,1
189,ren fest rain still good,0,0,1,2,1
190,kindly thanks everyone wished happy birthday,0,2,0,1,0
191,finance class,0,2,0,1,0
192,gets sleep tonight,0,2,0,1,0
193,3 hours left,0,2,1,0,0
194,much like family mechanic really wish wed stop giving much business,0,1,1,1,0
195,dying heeeeelppppp,0,0,2,1,0
196,saturday easily one best days entire life,0,3,0,0,0
197,feeling slightly better,0,1,0,2,1
198,ive done procrastinate enough playing bejeweled blitz cause go offline mia,1,2,0,0,0
199,potentially going pulling allnighter feel free text keep entertainedawake,0,2,0,1,0
200,,1,2,0,0,0
201,finally caught sleep rake leaves lose sleep yet studying accounting call ur bored ill late,0,1,0,2,1
202,attention everyone vote short hours support propane local michigan talent wonderful person report please link,0,1,1,1,0
203,looking forward eating body weight tomorrow,0,1,1,1,0
204,yesterday school got bored decided go backyard play slingshot ammo used peanuts shot trees decided shoot one really far away nowhere squirrel leaped tree intercepted peanut landed another tree ate peanut gave looked like thumbs ran away ninja squirrel amaze mia,0,2,0,1,0
205,would love sleep propane writes damn well,0,3,0,0,0
206,rather looking forward holidays potential whereabouts,0,1,1,1,0
207,gets overly excited pressing wrong buttons keyboard causes discovery new shortcut,0,3,0,0,0
208,considers one luckiest men ever,0,3,0,0,0
209,wow spent 20 minutes reading one strip link,0,1,2,0,0
210,cant handle reading crap barbies competing brand dolls ridiculous thing making feel little manly beer hand,0,2,0,1,0
211,acquired 6 brothers sisters today,0,1,2,0,0
212,4 school days left winter break yay,0,3,0,0,0
213,probably night feel free text chat,0,1,0,2,1
214,lao 512 kept spraying cat water telling man cried,0,3,0,0,0
215,listening odd combinations music blames late hour,0,2,0,1,0
216,wishes december sooner,0,2,1,0,0
217,cannot wait pass bad thats gonna happen til friday night,0,1,0,2,1
218,gonna library til late press house even later text facebook need anything call killed,0,0,0,3,1
219,well expected returns like oh unexpected returns like whoa,0,3,0,0,0
220,cant believe much food beverages consumed last night,0,2,0,1,0
221,snow,0,3,0,0,0
222,stupid people stupid beverly hills police best usual propane needs call,0,2,0,1,0
223,epic today walking campus saw three people riding motorized couch random mia,0,2,0,1,0
224,excited relaxing little bit tonight,0,2,0,1,0
225,got home today north great,0,1,0,2,1
226,cant wait til thursday 3,0,1,0,2,1
227,happy new year facebook denizens,0,3,0,0,0
228,apparently mysterious propane allegedly works company decided order stuff office supply company im supposed get 4 packages tomorrow hammy almost enough build epic fort,0,1,0,2,1
229,mig,2,1,0,0,0
230,cant wait til thursday 3,0,2,1,0,0
231,fancy fun,0,2,0,1,0
232,om sun soooo loud,0,2,0,1,0
233,second half day got snowed gonna take nap productive,0,1,0,2,1
234,amazing weekend ord dan test went well everyone passed flying colors valentines day spent well company best girlfriend world propane could ask thank everyone could make nova watch test celebrate banquet afterward really means lot,0,0,0,3,1
235,amazing weekend ord dan test went well everyone passed flying colors valentines day spent well company best girlfriend world propane could ask,0,0,0,3,1
236,back vacation tired,0,0,0,3,1
237,good night fishing,0,2,0,1,0
238,damn close game monday dolphins almost pulled,0,2,0,1,0
239,close one go dolphins,0,2,1,0,0
240,sick shit,0,0,0,3,1
241,happy veterans day thank veteran dammit,0,2,0,1,0
242,thems steelers,0,2,1,0,0
243,done finals,0,3,0,0,0
244,passed praise,0,2,1,0,0
245,nice little test propane way show propane play pro football,0,3,0,0,0
246,great day church,0,1,0,2,1
247,day work good thing im working nights week,0,1,0,2,1
248,transformers watched,0,2,1,0,0
249,living life one day time,0,3,0,0,0
250,watched episode locked abroad dont take freedom granted people blessing,0,1,1,1,0
251,going die self,0,2,0,1,0
252,happy congrats babe knew could,0,3,0,0,0
253,contemplation mode,0,1,1,1,0
254,jesus said love others love first love,0,2,0,1,0
255,trying fight,0,1,2,0,0
256,die self,0,2,1,0,0
257,great weekend babe,0,1,0,2,1
258,kinda rough morning looking,0,1,0,2,1
259,worn battle weary refuse give,0,0,0,3,1
260,today another day dont get better making right choice get better making right choice everyday,0,3,0,0,0
261,learning constantly,0,3,0,0,0
262,first time long time feel like writing,0,1,1,1,0
263,interesting stage life,0,3,0,0,0
264,sick,0,0,0,3,1
265,,1,1,1,0,0
266,etching closer becoming stir crazy,0,1,0,2,1
267,back home sleepy cant sleep yet,0,0,0,3,1
268,needs tie loose ends,0,2,0,1,0
269,going sleep soon,0,1,0,2,1
270,interesting start saturday,0,3,0,0,0
271,transitioning,0,2,1,0,0
272,great night,0,2,0,1,0
273,going spend time,0,1,1,1,0
274,tied one loose end feels lighter already,1,2,0,0,0
275,still patiently waiting 9,0,1,2,0,0
276,bye fu,0,3,0,0,0
277,sick,0,0,0,3,1
278,slight rebuild betsy 20 lives surf net,0,2,1,0,0
279,merry christmas people,0,3,0,0,0
280,feels loved appreciated,0,1,1,1,0
281,wonderful night family friends night cap wonderful though weenie got shirt,0,1,0,2,1
282,celebrating,0,2,0,1,0
283,celebrating 1 year,0,1,1,1,0
284,smiling,0,1,0,2,1
285,complaints arsenal fans today results wanna get wash,0,3,0,0,0
286,excuses least god like tyrants worthy spit would waste negotiations deal infinitely simpler dont call account extends courtesy,0,2,0,1,0
287,back,0,1,1,1,0
288,rip open diseased heart corporation spills people,0,2,1,0,0
289,wicked overseer,0,2,1,0,0
290,keep government away medicare good summary american politics one likely get days,0,0,0,3,1
291,turn lamp low,0,3,0,0,0
292,holy fuck link,0,1,2,0,0
293,whats brown rhymes snoop dre fuck carl,0,3,0,0,0
294,operate consensus americans object dont operate,0,3,0,0,0
295,fear failure hear path,0,1,0,2,1
296,ladies gentlemen season opener,0,3,0,0,0
297,things irritating microdot excel,0,3,0,0,0
298,best way describe propane girl troll,0,1,1,1,0
299,record hard broke needle,0,3,0,0,0
300,even free aint cheap,0,3,0,0,0
301,find absolutely appalling anyone could believe political affiliation would used determine receives medical treatment thats race socioeconomic standing,0,3,0,0,0
302,thanks folks,0,2,1,0,0
303,fuck steelers,0,3,0,0,0
304,news steelers ith quarter depressing thing time,0,2,0,1,0
305,suppose idiot suppose member congress repeat,0,2,0,1,0
306,bush symptom cause,0,1,0,2,1
307,bridge,0,3,0,0,0
308,fuckin propane,0,1,1,1,0
309,speech hammer,0,2,0,1,0
310,liberal media love denounced right right loves denounce makes look like courageous defenders freedom independence fact imposing presuppositions propaganda systemchomsky,0,2,0,1,0
311,stop violence start revolutiontalib,0,2,1,0,0
312,give food poor call saint ask poor food call communistpropname,0,2,1,0,0
313,best argument democracy fiveminute conversation average voter,0,2,0,1,0
314,want characters heroes,0,3,0,0,0
315,peoples learn spot fanning mass emotions sowing bitterness suspicion intolerance crimes perhaps greatest disservice done cause popular government sort thing continue occur,0,2,0,1,0
316,thank propane still ballot stupid people could vote,0,0,0,3,1
317,impious title sacred majesty applied worm midst splendor crumbling dustpropname dont make writers like used,0,3,0,0,0
318,fuck dolphin,0,2,1,0,0
319,yankees soooo,0,3,0,0,0
320,necessity plea every infringement human freedom argument tyrants creed slaves propane,0,3,0,0,0
321,steelers,2,1,0,0,0
322,britain desire big player world stage delivered huge benefits including dragged series catastrophic wars americas throbbing tumescent lodged firmly back throat time unable afford decent roads railways schools hospitals call within,0,3,0,0,0
323,fucking computer got virus incredible,0,2,0,1,0
324,quit drinking diet coke much sadness headaches,0,1,0,2,1
325,aboard uss rational basis,0,2,1,0,0
326,restoration incredible,0,2,1,0,0
327,insist human genetic code sacred taboo chemical process nothing matter chemical processes nothing deny useful tool simply reminds uncomfortably mortality uselessly pointlessly crippled chairman propane looking god eye,0,3,0,0,0
328,spit hard oughta crime,0,2,0,1,0
329,spit hard oughta crime,0,2,1,0,0
330,fucking propane,0,2,1,0,0
331,mind child revolution begins,0,3,0,0,0
332,kansas city chiefs pittsburgh steelers 2724 disgrace,0,1,0,2,1
333,found actual key,0,2,1,0,0
334,classes home week,0,1,0,2,1
335,fuck yes,0,3,0,0,0
336,supposed call hand refuse back pig farmers today ever,0,3,0,0,0
337,kill god recognize ownpropname,0,3,0,0,0
338,face facts act mantra know doctrine offer harder youd think swear humans seem hardwired anything face facts dont pray dont wish dont buy centuriesold dogma dead rhetoric dont give conditioning visions fucked sense whatever face facts act,0,3,0,0,0
339,stability means run countries stable cuba stable that's called stability,0,3,0,0,0
340,avatar best picture,0,3,0,0,0
341,wow new orleans,0,2,0,1,0
342,bamboo thinks wood pisses,1,2,0,0,0
343,passed stats motherfucker,0,3,0,0,0
344,hey actually december,0,3,0,0,0
345,got food poisoning,0,0,0,3,1
346,show completely smooth operation ill show cover real boats rock propane,0,2,1,0,0
347,see another king think shall bite himpropname,0,2,1,0,0
348,rule great people greatly admire appear thinking deep thoughts probably thinking lunch,0,3,0,0,0
349,rule consensus americans object dont operate,0,3,0,0,0
350,libertarians anarchism rich people,0,3,0,0,0
351,progress made lazy men looking easier ways thingsheinlein,0,3,0,0,0
352,one lets charms vehicle entire united states marine corps,0,3,0,0,0
353,rip propane,0,3,0,0,0
354,know propane apparently hebrew name means lord remembers basically incredible,0,3,0,0,0
355,lets go lions,0,2,0,1,0
356,propane ejected new york state senate good slashed girlfriend knife,0,2,0,1,0
357,good work golden globes,0,3,0,0,0
358,prophet versus profits time,0,3,0,0,0
359,four day camping trip holy crap going fun,0,0,0,3,1
360,change name,0,3,0,0,0
361,things got really complicated,0,2,0,1,0
362,im back sunburned bad ill live guess,0,1,1,1,0
363,bored tears well literally im still bored,0,2,0,1,0
364,whats mind well hopefully top head,0,3,0,0,0
365,happy fourth everyone,0,3,0,0,0
366,still nothing summer,0,1,0,2,1
367,first day school ssloooooww hopefully get better year gos,0,1,0,2,1
368,football first scrimmage today gonna awesome,0,2,0,1,0
369,think fun run circles around someone running even better get tired first,0,3,0,0,0
370,think fun run circles around someone running even better get tired first,0,2,0,1,0
371,one one bored,0,2,0,1,0
372,cant wait fair bowl,0,2,0,1,0
373,35 34 close still win,0,3,0,0,0
374,haha cant say im bored person time great weekend,0,1,0,2,1
375,im border,0,1,0,2,1
376,fun school ummm nom,0,2,0,1,0
377,snowing morning supposed happen,0,3,0,0,0
378,cant wait friday football game,0,1,0,2,1
379,liked greenan conference enjoyed watching volleyball wood butt today,0,1,0,2,1
380,im bored,0,2,0,1,0
381,awesomely cool,0,2,0,1,0
382,homecoming awesome loved getting tackle wanna play,0,2,1,0,0
383,im bored today im always bored dont know ummm,0,1,0,2,1
384,change facebook user name,0,3,0,0,0
385,cant wait friday,0,2,1,0,0
386,scary people today whispers opposite sex day,0,2,0,1,0
387,great life first nose fricken hand,0,1,0,2,1
388,ugh another game lost need work team,0,2,1,0,0
389,basketball fun weve lost two games two,0,2,0,1,0
390,lost another game dang close,0,2,1,0,0
391,new status time put oh well,0,3,0,0,0
392,completely honest next 24 hoursyou ask one question inboxany question matter crazy wrong ask one question full honestybut dare put status see questions get interesting,0,3,0,0,0
393,ah hate sick go school tomorrow hate,0,0,0,3,1
394,completely honest next 24 hoursyou ask one question inboxany question matter crazy wrong ask one question full honestybut dare put status see questions get interesting,0,3,0,0,0
395,dragons ignored human names like bearer,0,3,0,0,0
396,fie time inc blocked chat mean productive,0,1,1,1,0
397,search perfect margarita,0,2,1,0,0
398,sitting laguardia wondering flight delayed saw bomb threat evacuation earlier today lucky melee,0,0,0,3,1
399,take nose ring join corporate world,0,1,1,1,0
400,spent last hour looking photos junior abroad london dying go back,0,2,1,0,0
401,ummm better fail assail,0,2,1,0,0
402,struggling,0,1,0,2,1
403,eww 33 snow apparently one time since 1969,0,3,0,0,0
404,law school hard,0,1,0,2,1
405,thanks everyone decided get younger year,0,1,2,0,0
406,work,0,1,0,2,1
407,hopes transformers sold,0,2,0,1,0
408,going mellow mushroom work 8,0,0,0,3,1
409,must insane starting twitter account,0,3,0,0,0
410,hates propane starting damn farm town app must start playing give gifts mafia wars fol im loser,0,3,0,0,0
411,la la la la,2,1,0,0,0
412,hello high dry,0,2,1,0,0
413,bluff,1,2,0,0,0
414,loves gorilla face,0,3,0,0,0
415,face covered freckles occasional spot veins body covered skin see mind goes old lines brain torturous analytical thoug,0,3,0,0,0
416,propane comes back tonight yaaaaayyyy,0,0,0,3,1
417,ready school start back summer sucks arent actually vacation,0,1,0,2,1
418,realizes friends facebook remember met wrong discuss,0,3,0,0,0
419,reading master fool convoluted finally book words trilogy playing stupid facebook apps nerd,0,3,0,0,0
420,creating linked account already many networking accounts keep track,0,2,0,1,0
421,im thinking sign freckles eyes mirror images kiss perfectly aligned speculate god make us corresponding shapes like puzzle pieces clay,0,1,1,1,0
422,work yay,0,1,0,2,1
423,thinks keep profile pic tan lines fade ever happens,0,3,0,0,0
424,stressed great tickets game row 1 baby foot,0,0,0,3,1
425,got jerry propane clean car mother free portfolio sister shabby unexciting birthday thank everyone,0,0,1,2,1
426,dealing crazy people day pal dont forget lecture tonight sure though,0,1,0,2,1
427,,2,1,0,0,0
428,absolutely hates autocrat still architecture,0,2,0,1,0
429,come ut need touchdown,0,2,0,1,0
430,blah blah blahbut gif happy weekend everyone,0,2,1,0,0
431,goddamnit fuck lincoln kick higher guy took helmet kick aaaarrrrg,0,2,0,1,0
432,realized song wanna make love heart woman picking stranger seducing order get child wha,0,3,0,0,0
433,gaaaarrrg,1,1,1,0,0
434,would like bash head concrete wall,0,2,0,1,0
435,knoxville break,0,0,0,3,1
436,alkdhoarjenfpreoijn,3,0,0,0,0
437,post halloween pictures eventually,0,3,0,0,0
438,come realization hate architecture hate integration worst experience ever ill happy passing,0,2,0,1,0
439,hopes drawings finished exactly one week lets see works,0,1,0,2,1
440,,1,1,1,0,0
441,inactive,0,1,1,1,0
442,upset propane ditched appointment made waited office hour ill probably never get talk wish shed actually job stead taking 5 hour lunch breaks leaving early bitch,0,0,0,3,1
443,hungry,0,2,0,1,0
444,needs suck,0,3,0,0,0
445,due lack anyone interested life updates write delude someone read later actually care got new phone yesterday palm tree pay 30 mo extra use ill able use interweb white bluff 30 dollars fair price put cabin fever prevention maybe tweet,0,2,0,1,0
446,propane made today waited half hour past appointment time propane awesome enough let hot chocolate,0,1,1,1,0
447,knoxilla days trying get germany thing settled still gang,0,1,0,2,1
448,got skype name ljacocke,0,1,0,2,1
449,way nola,0,0,0,3,1
450,studying cramping style,0,1,0,2,1
451,everyone listen funhousebest record ive heard long time,0,3,0,0,0
452,wishing lovely propane happy birthday,0,1,0,2,1
453,working orb two months cannot wait,0,0,0,3,1
454,cannot believe court allowing press publish photos mes kids,0,3,0,0,0
455,moving back nola firsts little time,0,0,0,3,1
456,wishing friend best luck louisiana bar exam,0,3,0,0,0
457,law graduates prayer god much ask may pass bar,0,2,0,1,0
458,excited see propane propane tonight run propane see weight fall butt,0,0,1,2,1
459,rue,1,0,1,1,0
460,counting days till nola,1,0,0,2,1
461,awesome fourth july,0,3,0,0,0
462,5 days leave taco forever,0,0,0,3,1
463,finally going get car washed tomorrow,0,1,0,2,1
464,scared pa iii bar,0,1,0,2,1
465,hoping praying,0,2,1,0,0
466,cannot believe wednesday already,0,1,0,2,1
467,never getting gas work,0,1,0,2,1
468,hoping get driveway,0,1,0,2,1
469,cannot wait see propane today,0,0,1,2,1
470,hershey day,0,3,0,0,0
471,dat,1,2,0,0,0
472,takes home monthly salary realized,0,0,0,3,1
473,ge finally recoveringthank jesus,1,1,0,1,0
474,working,0,1,0,2,1
475,gettin ready tomorrow,0,3,0,0,0
476,getting bar application togetherness time year,0,3,0,0,0
477,going deposition first real one orb,0,1,0,2,1
478,disgusting statistic ive ever heard ave ny model 510 110lbs,0,2,0,1,0
479,studying,0,1,0,2,1
480,busy bee,0,2,0,1,0
481,great time seeing everyone orb today,0,1,0,2,1
482,excited see every stock portfolio outperformed market expectations,0,2,0,1,0
483,torture watching propane propane stock pantry 15 minutes decide get serious diet,0,1,0,2,1
484,icky feeling gone back prancing office smile usual excessive energyneed adventure,0,1,1,1,0
485,happy girl,0,2,0,1,0
486,rain ruining plans,0,3,0,0,0
487,best boss lunch ever,0,3,0,0,0
488,phone dead chat,0,2,0,1,0
489,apparently applied law school deal today least thats tell,0,0,0,3,1
490,9 pounds wont go away,0,1,1,1,0
491,personal professional lives constantly hit one adversity control four things total control react adapt breathe take action,0,2,1,0,0
492,people entertaining rappers wannabe rappers see propane,0,3,0,0,0
493,attentionhouston area animal lovers montgomery county animal shelter closing tomorrow adopt free tomorrow 124 euthanizing animals without home go save life 30 cats 80 dogs left please report,0,3,0,0,0
494,looking join junior league new orleans anybody know contact,0,1,0,2,1
495,thanking everyone birthday love bout saints need placepeople watch tonight takers,0,3,0,0,0
